--- PSX Execution Trace ---
[09758] PC: 0x80001008  Inst: 0x85090000
[09759] PC: 0x8000100C  Inst: 0x950A0000
[09760] PC: 0x80001010  Inst: 0x00000000
[09761] PC: 0x80001014  Inst: 0x00000000
[09762] PC: 0x80001000  Inst: 0x3C088000
[09763] PC: 0x80001004  Inst: 0x35082000
[09764] PC: 0x80001008  Inst: 0x24090011
[09765] PC: 0x8000100C  Inst: 0xA1090001
[09766] PC: 0x80001000  Inst: 0x3C088000
[09767] PC: 0x80001004  Inst: 0x35082000
[09768] PC: 0x80001008  Inst: 0x3C091122
[09769] PC: 0x8000100C  Inst: 0x35293344
[09770] PC: 0x80001010  Inst: 0xA5090000
[09771] PC: 0x80001000  Inst: 0x3C088000
[09772] PC: 0x80001004  Inst: 0x35082000
[09773] PC: 0x80001008  Inst: 0x3C09DEAD
[09774] PC: 0x8000100C  Inst: 0x3529BEEF
[09775] PC: 0x80001010  Inst: 0xAD090000
[09776] PC: 0x80001014  Inst: 0x8D0A0000
[09777] PC: 0x80001018  Inst: 0x00000000
[09778] PC: 0x8000101C  Inst: 0x00000000
[09779] PC: 0x80001000  Inst: 0x3C088000
[09780] PC: 0x80001004  Inst: 0x35082000
[09781] PC: 0x80001008  Inst: 0x3C09AABB
[09782] PC: 0x8000100C  Inst: 0x3529CCDD
[09783] PC: 0x80001010  Inst: 0x89090000
[09784] PC: 0x80001014  Inst: 0x00000000
[09785] PC: 0x80001018  Inst: 0x00000000
[09786] PC: 0x80001000  Inst: 0x3C088000
[09787] PC: 0x80001004  Inst: 0x35082000
[09788] PC: 0x80001008  Inst: 0x3C09AABB
[09789] PC: 0x8000100C  Inst: 0x3529CCDD
[09790] PC: 0x80001010  Inst: 0x99090000
[09791] PC: 0x80001014  Inst: 0x00000000
[09792] PC: 0x80001018  Inst: 0x00000000
[09793] PC: 0x80001000  Inst: 0x3C088000
[09794] PC: 0x80001004  Inst: 0x35082000
[09795] PC: 0x80001008  Inst: 0x3C09AABB
[09796] PC: 0x8000100C  Inst: 0x3529CCDD
[09797] PC: 0x80001010  Inst: 0xA9090000
[09798] PC: 0x80001000  Inst: 0x3C088000
[09799] PC: 0x80001004  Inst: 0x35082000
[09800] PC: 0x80001008  Inst: 0x3C09AABB
[09801] PC: 0x8000100C  Inst: 0x3529CCDD
[09802] PC: 0x80001010  Inst: 0xB9090000
[09803] PC: 0x80001000  Inst: 0x3C088000
[09804] PC: 0x80001004  Inst: 0x35082000
[09805] PC: 0x80001008  Inst: 0x3C09AABB
[09806] PC: 0x8000100C  Inst: 0x3529CCDD
[09807] PC: 0x80001010  Inst: 0x89090001
[09808] PC: 0x80001014  Inst: 0x00000000
[09809] PC: 0x80001018  Inst: 0x00000000
[09810] PC: 0x80001000  Inst: 0x3C088000
[09811] PC: 0x80001004  Inst: 0x35082000
[09812] PC: 0x80001008  Inst: 0x3C09AABB
[09813] PC: 0x8000100C  Inst: 0x3529CCDD
[09814] PC: 0x80001010  Inst: 0x99090001
[09815] PC: 0x80001014  Inst: 0x00000000
[09816] PC: 0x80001018  Inst: 0x00000000
[09817] PC: 0x80001000  Inst: 0x3C088000
[09818] PC: 0x80001004  Inst: 0x35082000
[09819] PC: 0x80001008  Inst: 0x3C09AABB
[09820] PC: 0x8000100C  Inst: 0x3529CCDD
[09821] PC: 0x80001010  Inst: 0xA9090001
[09822] PC: 0x80001000  Inst: 0x3C088000
[09823] PC: 0x80001004  Inst: 0x35082000
[09824] PC: 0x80001008  Inst: 0x3C09AABB
[09825] PC: 0x8000100C  Inst: 0x3529CCDD
[09826] PC: 0x80001010  Inst: 0xB9090001
[09827] PC: 0x80001000  Inst: 0x3C088000
[09828] PC: 0x80001004  Inst: 0x35082000
[09829] PC: 0x80001008  Inst: 0x3C09AABB
[09830] PC: 0x8000100C  Inst: 0x3529CCDD
[09831] PC: 0x80001010  Inst: 0x89090002
[09832] PC: 0x80001014  Inst: 0x00000000
[09833] PC: 0x80001018  Inst: 0x00000000
[09834] PC: 0x80001000  Inst: 0x3C088000
[09835] PC: 0x80001004  Inst: 0x35082000
[09836] PC: 0x80001008  Inst: 0x3C09AABB
[09837] PC: 0x8000100C  Inst: 0x3529CCDD
[09838] PC: 0x80001010  Inst: 0x99090002
[09839] PC: 0x80001014  Inst: 0x00000000
[09840] PC: 0x80001018  Inst: 0x00000000
[09841] PC: 0x80001000  Inst: 0x3C088000
[09842] PC: 0x80001004  Inst: 0x35082000
[09843] PC: 0x80001008  Inst: 0x3C09AABB
[09844] PC: 0x8000100C  Inst: 0x3529CCDD
[09845] PC: 0x80001010  Inst: 0xA9090002
[09846] PC: 0x80001000  Inst: 0x3C088000
[09847] PC: 0x80001004  Inst: 0x35082000
[09848] PC: 0x80001008  Inst: 0x3C09AABB
[09849] PC: 0x8000100C  Inst: 0x3529CCDD
[09850] PC: 0x80001010  Inst: 0xB9090002
[09851] PC: 0x80001000  Inst: 0x3C088000
[09852] PC: 0x80001004  Inst: 0x35082000
[09853] PC: 0x80001008  Inst: 0x3C09AABB
[09854] PC: 0x8000100C  Inst: 0x3529CCDD
[09855] PC: 0x80001010  Inst: 0x89090003
[09856] PC: 0x80001014  Inst: 0x00000000
[09857] PC: 0x80001018  Inst: 0x00000000
[09858] PC: 0x80001000  Inst: 0x3C088000
[09859] PC: 0x80001004  Inst: 0x35082000
[09860] PC: 0x80001008  Inst: 0x3C09AABB
[09861] PC: 0x8000100C  Inst: 0x3529CCDD
[09862] PC: 0x80001010  Inst: 0x99090003
[09863] PC: 0x80001014  Inst: 0x00000000
[09864] PC: 0x80001018  Inst: 0x00000000
[09865] PC: 0x80001000  Inst: 0x3C088000
[09866] PC: 0x80001004  Inst: 0x35082000
[09867] PC: 0x80001008  Inst: 0x3C09AABB
[09868] PC: 0x8000100C  Inst: 0x3529CCDD
[09869] PC: 0x80001010  Inst: 0xA9090003
[09870] PC: 0x80001000  Inst: 0x3C088000
[09871] PC: 0x80001004  Inst: 0x35082000
[09872] PC: 0x80001008  Inst: 0x3C09AABB
[09873] PC: 0x8000100C  Inst: 0x3529CCDD
[09874] PC: 0x80001010  Inst: 0xB9090003
[09875] PC: 0x80001000  Inst: 0x3C088000
[09876] PC: 0x80001004  Inst: 0x35082000
[09877] PC: 0x80001008  Inst: 0x89090005
[09878] PC: 0x8000100C  Inst: 0x99090002
[09879] PC: 0x80001010  Inst: 0x00000000
[09880] PC: 0x80001014  Inst: 0x00000000
[09881] PC: 0x80001000  Inst: 0x3C088000
[09882] PC: 0x80001004  Inst: 0x35082000
[09883] PC: 0x80001008  Inst: 0x3C09AABB
[09884] PC: 0x8000100C  Inst: 0x3529CCDD
[09885] PC: 0x80001010  Inst: 0xA9090005
[09886] PC: 0x80001014  Inst: 0xB9090002
[09887] PC: 0x80001000  Inst: 0x3C088000
[09888] PC: 0x80001004  Inst: 0x35082000
[09889] PC: 0x80001008  Inst: 0x34091234
[09890] PC: 0x8000100C  Inst: 0x8D090000
[09891] PC: 0x80001010  Inst: 0x01205021
[09892] PC: 0x80001014  Inst: 0x00000000
[09893] PC: 0x80001018  Inst: 0x00000000
[09894] PC: 0x80001000  Inst: 0x3C088000
[09895] PC: 0x80001004  Inst: 0x35082000
[09896] PC: 0x80001008  Inst: 0x34091234
[09897] PC: 0x8000100C  Inst: 0x8D090000
[09898] PC: 0x80001010  Inst: 0x00000000
[09899] PC: 0x80001014  Inst: 0x01205021
[09900] PC: 0x80001000  Inst: 0x3C088000
[09901] PC: 0x80001004  Inst: 0x35082000
[09902] PC: 0x80001008  Inst: 0x8D090000
[09903] PC: 0x8000100C  Inst: 0x34095678
[09904] PC: 0x80001010  Inst: 0x00000000
[09905] PC: 0x80001014  Inst: 0x00000000
[09906] PC: 0x80001000  Inst: 0x3C088000
[09907] PC: 0x80001004  Inst: 0x35082000
[09908] PC: 0x80001008  Inst: 0x8D090000
[09909] PC: 0x8000100C  Inst: 0x8D090004
[09910] PC: 0x80001010  Inst: 0x00000000
[09911] PC: 0x80001014  Inst: 0x00000000
[09912] PC: 0x80001000  Inst: 0x3C088000
[09913] PC: 0x80001004  Inst: 0x35082000
[09914] PC: 0x80001008  Inst: 0x8D090000
[09915] PC: 0x8000100C  Inst: 0x10000002
[09916] PC: 0x80001010  Inst: 0x01205021
